time/fps,time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/total_timesteps,train/clip_fraction,train/value_loss,train/policy_gradient_loss,train/loss,train/n_updates,train/clip_range,train/approx_kl,train/learning_rate,train/explained_variance,train/entropy_loss
3,17727,73.84,32,62.84,65536,0.082275390625,136.06184318065644,0.004612466183607467,71.41754150390625,310,0.2,0.009306009,0.0003,0.039025068283081055,-0.4268501909449697
3,18232,78.21,33,67.21,67584,0.08076171875,162.05054450035095,0.004705301807553042,89.4618148803711,320,0.2,0.015942853,0.0003,0.11806094646453857,-0.41674158703535796
3,18745,78.87,34,67.87,69632,0.0962890625,152.17555820941925,0.004596464159112657,93.1971206665039,330,0.2,0.0037897087,0.0003,0.06315219402313232,-0.42981997663155197
3,19248,77.22,35,66.22,71680,0.07099609375,161.79084174633027,0.0019052001240197568,122.11148071289062,340,0.2,0.006481669,0.0003,0.11931478977203369,-0.4112322345376015
3,19758,78.58,36,67.58,73728,0.06708984375,153.78209183216094,0.0048783657286548985,94.4025650024414,350,0.2,0.01285222,0.0003,0.08224672079086304,-0.41215013032779096
3,20269,75.13,37,64.13,75776,0.062744140625,152.33894028663636,0.004806113644735888,62.108924865722656,360,0.2,0.0082814675,0.0003,0.08142250776290894,-0.4136846479959786
3,20778,74.97,38,63.97,77824,0.065234375,165.99440264701843,0.002707047406875063,79.93266296386719,370,0.2,0.0054303864,0.0003,0.13068634271621704,-0.42937975293025377
3,21320,70.59,39,59.59,79872,0.07255859375,156.83956124782563,0.0016077509673777968,54.98524475097656,380,0.2,0.00860141,0.0003,0.09057861566543579,-0.41650415686890485
3,21825,74.6,40,63.6,81920,0.076171875,171.22197873592376,0.007705125595384743,85.89078521728516,390,0.2,0.015859053,0.0003,0.08551150560379028,-0.42595370803028343
3,22336,75.74,41,64.74,83968,0.06103515625,158.68246428966523,0.0022611017207964323,84.95040130615234,400,0.2,0.0065087816,0.0003,0.05967557430267334,-0.42403222946450114
3,22841,77.85,42,66.85,86016,0.071923828125,176.71993248462678,0.008105865013203584,58.82923126220703,410,0.2,0.007832667,0.0003,0.089610755443573,-0.41555907698348166
3,23348,79.67,43,68.67,88064,0.068994140625,171.67493257522582,0.0033592694817343727,88.59151458740234,420,0.2,0.008871426,0.0003,0.06611847877502441,-0.37180608361959455
3,23855,78.75,44,67.75,90112,0.090234375,166.12652282714845,0.00952946434408659,86.94432067871094,430,0.2,0.016523018,0.0003,0.09278064966201782,-0.3710333069320768
3,24363,77.45,45,66.45,92160,0.081884765625,154.05572488307953,0.005445963102101814,88.44145202636719,440,0.2,0.013757488,0.0003,0.05920141935348511,-0.4270322801545262
3,24873,74.72,46,63.72,94208,0.0869140625,167.02620689868928,0.006151139090070501,99.4783935546875,450,0.2,0.015035518,0.0003,0.05444556474685669,-0.3714693907648325
3,25376,77.69,47,66.69,96256,0.09921875,151.23102674484252,0.007134772927383892,68.85581970214844,460,0.2,0.01360039,0.0003,0.0886029601097107,-0.36585084442049265
3,25885,74.87,48,63.87,98304,0.08203125,151.355166554451,0.004075480747269466,68.4212417602539,470,0.2,0.010713268,0.0003,0.04026061296463013,-0.4012713167816401
3,26398,73.31,49,62.31,100352,0.06455078125,159.0257823228836,0.0020703456408227793,68.97245025634766,480,0.2,0.0069809505,0.0003,0.09258466958999634,-0.39515004875138404
