time/total_timesteps,rollout/ep_len_mean,time/fps,time/episodes,rollout/exploration_rate,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/n_updates,train/loss
27406,31.97,3,1248,0.05,20.97,8198,0.0001,6601,0.04224853217601776
27548,32.15,3,1252,0.05,21.15,8237,0.0001,6636,0.048658814281225204
27691,31.85,3,1256,0.05,20.85,8276,0.0001,6672,0.6123344898223877
27792,31.12,3,1260,0.05,20.12,8306,0.0001,6697,0.07680509984493256
27933,31.68,3,1264,0.05,20.68,8344,0.0001,6733,0.5042128562927246
28053,31.61,3,1268,0.05,20.61,8378,0.0001,6763,0.07886922359466553
28210,32.13,3,1272,0.05,21.13,8420,0.0001,6802,0.03641783073544502
28371,32.52,3,1276,0.05,21.52,8465,0.0001,6842,0.40041834115982056
28498,32.71,3,1280,0.05,21.71,8501,0.0001,6874,0.49516716599464417
28590,32.37,3,1284,0.05,21.37,8528,0.0001,6897,0.04054819047451019
28677,31.95,3,1288,0.05,20.95,8553,0.0001,6919,0.4070313274860382
28854,32.4,3,1292,0.05,21.4,8601,0.0001,6963,0.4480201005935669
28956,32.04,3,1296,0.05,21.04,8631,0.0001,6988,0.09619534760713577
29077,31.91,3,1300,0.05,20.91,8665,0.0001,7019,0.9969413876533508
29230,32.24,3,1304,0.05,21.24,8706,0.0001,7057,0.06670668721199036
29334,31.17,3,1308,0.05,20.17,8736,0.0001,7083,0.0648154467344284
29480,31.44,3,1312,0.05,20.44,8776,0.0001,7119,0.2708326578140259
29647,31.92,3,1316,0.05,20.92,8822,0.0001,7161,0.4367721378803253
29786,31.88,3,1320,0.05,20.88,8860,0.0001,7196,0.4069714844226837
29909,32.07,3,1324,0.05,21.07,8895,0.0001,7227,0.04772689566016197
30004,31.74,3,1328,0.05,20.74,8922,0.0001,7250,0.46817144751548767
30136,31.74,3,1332,0.05,20.74,8959,0.0001,7283,0.2571566104888916
30245,31.86,3,1336,0.05,20.86,8990,0.0001,7311,0.21614550054073334
30384,32.05,3,1340,0.05,21.05,9029,0.0001,7345,0.5471475124359131
30495,31.88,3,1344,0.05,20.88,9061,0.0001,7373,0.2988278269767761
30622,32.16,3,1348,0.05,21.16,9097,0.0001,7405,1.208143711090088
30761,32.13,3,1352,0.05,21.13,9135,0.0001,7440,0.4802326560020447
30874,31.83,3,1356,0.05,20.83,9167,0.0001,7468,0.2432340830564499
31046,32.54,3,1360,0.05,21.54,9214,0.0001,7511,0.21830907464027405
31165,32.32,3,1364,0.05,21.32,9247,0.0001,7541,0.8638039827346802
31282,32.29,3,1368,0.05,21.29,9280,0.0001,7570,0.165363147854805
31380,31.7,3,1372,0.05,20.7,9309,0.0001,7594,0.05569218844175339
31497,31.26,3,1376,0.05,20.26,9342,0.0001,7624,0.2136661410331726
31580,30.82,3,1380,0.05,19.82,9367,0.0001,7644,0.17983226478099823
31685,30.95,3,1384,0.05,19.95,9396,0.0001,7671,1.8012852668762207
31779,31.02,3,1388,0.05,20.02,9424,0.0001,7694,0.14438268542289734
31861,30.07,3,1392,0.05,19.07,9448,0.0001,7715,0.04002652317285538
32014,30.58,3,1396,0.05,19.58,9490,0.0001,7753,0.16705268621444702
32069,29.92,3,1400,0.05,18.92,9508,0.0001,7767,1.2167497873306274
32183,29.53,3,1404,0.05,18.53,9540,0.0001,7795,0.12540856003761292
32239,29.05,3,1408,0.05,18.05,9559,0.0001,7809,0.9756913185119629
32348,28.68,3,1412,0.05,17.68,9590,0.0001,7836,0.6524823904037476
32464,28.17,3,1416,0.05,17.17,9622,0.0001,7865,0.7057191729545593
32595,28.09,3,1420,0.05,17.09,9659,0.0001,7898,0.4036445617675781
32674,27.65,3,1424,0.05,16.65,9683,0.0001,7918,0.01510512176901102
32789,27.85,3,1428,0.05,16.85,9716,0.0001,7947,0.1999964863061905
32911,27.75,3,1432,0.05,16.75,9750,0.0001,7977,0.16983643174171448
33030,27.85,3,1436,0.05,16.85,9783,0.0001,8007,0.059232085943222046
33174,27.9,3,1440,0.05,16.9,9823,0.0001,8043,0.46488574147224426
33288,27.93,3,1444,0.05,16.93,9855,0.0001,8071,0.44992634654045105
33379,27.57,3,1448,0.05,16.57,9881,0.0001,8094,0.027480317279696465
33501,27.4,3,1452,0.05,16.4,9915,0.0001,8125,0.41783106327056885
33615,27.41,3,1456,0.05,16.41,9947,0.0001,8153,0.6297680139541626
33739,26.93,3,1460,0.05,15.93,9982,0.0001,8184,0.4843354821205139
33822,26.57,3,1464,0.05,15.57,10007,0.0001,8205,0.4089359641075134
33986,27.04,3,1468,0.05,16.04,10051,0.0001,8246,0.766877293586731
34095,27.15,3,1472,0.05,16.15,10082,0.0001,8273,0.4104034900665283
34201,27.04,3,1476,0.05,16.04,10112,0.0001,8300,0.19095896184444427
34382,28.02,3,1480,0.05,17.02,10161,0.0001,8345,0.45242422819137573
34483,27.98,3,1484,0.05,16.98,10190,0.0001,8370,0.37457534670829773
34610,28.31,3,1488,0.05,17.31,10225,0.0001,8402,0.4499025344848633
34724,28.63,3,1492,0.05,17.63,10257,0.0001,8430,0.3438679873943329
34809,27.95,3,1496,0.05,16.95,10283,0.0001,8452,0.1906926929950714
34963,28.94,3,1500,0.05,17.94,10325,0.0001,8490,0.3339134752750397
35106,29.23,3,1504,0.05,18.23,10365,0.0001,8526,0.20869994163513184
35205,29.66,3,1508,0.05,18.66,10393,0.0001,8551,0.07042036950588226
35340,29.92,3,1512,0.05,18.92,10430,0.0001,8584,0.6324126720428467
35476,30.12,3,1516,0.05,19.12,10468,0.0001,8618,0.14941495656967163
35586,29.91,3,1520,0.05,18.91,10499,0.0001,8646,0.4927365183830261
35662,29.88,3,1524,0.05,18.88,10522,0.0001,8665,0.31608903408050537
35820,30.31,3,1528,0.05,19.31,10565,0.0001,8704,0.04464831203222275
35938,30.27,3,1532,0.05,19.27,10598,0.0001,8734,0.07367689162492752
36071,30.41,3,1536,0.05,19.41,10635,0.0001,8767,0.22671754658222198
36237,30.63,3,1540,0.05,19.63,10679,0.0001,8809,0.13631638884544373
36378,30.9,3,1544,0.05,19.9,10719,0.0001,8844,1.2658629417419434
36493,31.14,3,1548,0.05,20.14,10752,0.0001,8873,0.05667543038725853
36673,31.72,3,1552,0.05,20.72,10800,0.0001,8918,0.09723128378391266
36787,31.72,3,1556,0.05,20.72,10832,0.0001,8946,0.47950345277786255
36883,31.44,3,1560,0.05,20.44,10860,0.0001,8970,0.08285624533891678
37003,31.81,3,1564,0.05,20.81,10894,0.0001,9000,0.3134179711341858
37077,30.91,3,1568,0.05,19.91,10916,0.0001,9019,0.2733961343765259
37179,30.84,3,1572,0.05,19.84,10946,0.0001,9044,0.3953518867492676
37268,30.67,3,1576,0.05,19.67,10972,0.0001,9066,0.36378219723701477
37369,29.87,3,1580,0.05,18.87,11001,0.0001,9092,1.2070574760437012
37460,29.77,3,1584,0.05,18.77,11028,0.0001,9114,0.39783522486686707
37601,29.91,3,1588,0.05,18.91,11067,0.0001,9150,0.10421822965145111
37684,29.6,3,1592,0.05,18.6,11091,0.0001,9170,1.5603646039962769
37791,29.82,3,1596,0.05,18.82,11122,0.0001,9197,0.0761706680059433
37966,30.03,3,1600,0.05,19.03,11168,0.0001,9241,0.3811189830303192
38089,29.83,3,1604,0.05,18.83,11203,0.0001,9272,0.9060583114624023
38181,29.76,3,1608,0.05,18.76,11230,0.0001,9295,0.4715261161327362
38344,30.04,3,1612,0.05,19.04,11274,0.0001,9335,0.25501757860183716
38479,30.03,3,1616,0.05,19.03,11312,0.0001,9369,0.33925455808639526
38581,29.95,3,1620,0.05,18.95,11341,0.0001,9395,0.02411513403058052
38747,30.85,3,1624,0.05,19.85,11386,0.0001,9436,0.06067545339465141
38818,29.98,3,1628,0.05,18.98,11408,0.0001,9454,0.19812622666358948
38965,30.27,3,1632,0.05,19.27,11448,0.0001,9491,0.4797089695930481
39105,30.34,3,1636,0.05,19.34,11486,0.0001,9526,0.294403076171875
39242,30.05,3,1640,0.05,19.05,11524,0.0001,9560,0.04767246171832085
39338,29.6,3,1644,0.05,18.6,11552,0.0001,9584,0.39881712198257446
39490,29.97,3,1648,0.05,18.97,11594,0.0001,9622,0.5540288686752319
39595,29.22,3,1652,0.05,18.22,11624,0.0001,9648,0.06561985611915588
39701,29.14,3,1656,0.05,18.14,11655,0.0001,9675,0.1381179541349411
39788,29.05,3,1660,0.05,18.05,11680,0.0001,9696,0.818602979183197
39886,28.83,3,1664,0.05,17.83,11708,0.0001,9721,0.3686448037624359
39975,28.98,3,1668,0.05,17.98,11734,0.0001,9743,0.33217060565948486
40057,28.78,3,1672,0.05,17.78,11759,0.0001,9764,0.4723949432373047
40195,29.27,3,1676,0.05,18.27,11797,0.0001,9798,0.6264846324920654
40306,29.37,3,1680,0.05,18.37,11829,0.0001,9826,0.41146403551101685
40425,29.65,3,1684,0.05,18.65,11862,0.0001,9856,0.051312558352947235
40535,29.34,3,1688,0.05,18.34,11894,0.0001,9883,0.7737006545066833
40653,29.69,3,1692,0.05,18.69,11927,0.0001,9913,0.8558842539787292
40803,30.12,3,1696,0.05,19.12,11968,0.0001,9950,0.01621050387620926
40917,29.51,3,1700,0.05,18.51,12001,0.0001,9979,0.554334282875061
41000,29.11,3,1704,0.05,18.11,12025,0.0001,9999,0.9833733439445496
41109,29.28,3,1708,0.05,18.28,12056,0.0001,10027,0.436321884393692
41236,28.92,3,1712,0.05,17.92,12092,0.0001,10058,0.02177431806921959
